"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","",
"Azerbaijan","AZE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.8","3.9","4","4","4","3.8","3.7","3.5","3.4","3.2","3.1","3","2.9","2.8","2.7","2.5","2.4","2.3","2.2","2.1","2","1.9","1.9","1.8","1.8","1.7","1.7","1.6","1.6","",
"Burundi","BDI","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9","41.6","42.9","58.1","46.8","45.9","44","43.5","42.7","41.5","39.9","37.5","34.4","31","27.5","24.3","21.3","18.9","17.1","15.7","14.8","14.1","13.7","13.4","13.2","13.1","12.9","12.6","12.3","12","",
"Belgium","BEL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.9","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","",
"Benin","BEN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","28.5","27.6","26.6","25.8","24.9","24.2","23.4","22.7","22.1","21.5","20.9","20.3","19.8","19.3","18.7","18.2","17.7","17.2","16.8","16.3","15.9","15.4","15","14.6","14.1","13.7","13.3","12.9","12.5","",
"Burkina Faso","BFA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","28.3","28.1","28","27.9","27.7","27.4","27","26.5","25.9","25.2","24.3","23.3","22.3","21.2","20.1","19.1","18.1","17.2","16.3","15.5","14.8","14.2","13.7","13.2","12.8","12.3","11.9","11.5","11.1","",
"Bangladesh","BGD","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","19.2","14.8","14.2","13.7","13.3","12.6","11.3","9.6","8.1","6.9","6.1","5.9","6","6.3","6.6","6.7","6.6","6.3","5.7","5.2","4.6","4.2","3.8","3.5","3.3","3.3","3.3","3.5","3.6","",
"Bulgaria","BGR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2","2","2","2","2","1.9","1.9","1.7","1.6","1.5","1.4","1.4","1.4","1.4","1.4","1.4","1.3","1.3","1.2","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.8","",
"Bahrain","BHR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.8","1.7","1.7","1.6","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","0.9","",
"Bahamas, The","BHS","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2.9","2.9","2.8","2.8","2.7","2.7","2.7","2.6","2.5","2.5","2.4","2.3","2.2","2.1","2","2","1.9","1.8","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.2","1.2","1.1","1.1","",
"Bosnia and Herzegovina","BIH","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","5.3","5.9","3.8","4.4","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","",
"Belarus","BLR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2","1.9","1.9","1.8","1.7","1.7","1.6","1.6","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8","0.8","0.7","0.7","0.6","0.6","",
"Belize","BLZ","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.6","2.6","2.6","2.5","2.5","2.5","2.4","2.4","2.3","2.3","2.2","2.1","2.1","2","1.9","1.9","1.8","1.8","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.3","1.2","1.2","",
"Bermuda","BMU","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.1","6.8","6.5","6.2","5.9","5.7","5.4","5.2","5","4.8","4.6","4.4","4.3","4.1","3.9","3.8","3.6","3.5","3.3","3.2","3","2.9","2.8","2.7","2.6","2.5","2.4","2.3","2.3","",
"Brazil","BRA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.9","1.8","1.8","1.8","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.5","1.4","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1","1","1","",
"Barbados","BRB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5","",
"Brunei Darussalam","BRN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.3","2.2","2.2","2.1","2","2","1.9","1.8","1.8","1.8","1.7","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.5","1.5","1.4","1.4","1.4","1.4","1.4","1.3","1.3","1.3","",
"Bhutan","BTN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","15.9","15.1","14.4","13.6","12.9","12.2","11.6","11","10.4","9.8","9.3","8.7","8.2","7.7","7.2","6.7","6.2","5.7","5.2","4.7","4.3","3.8","3.5","3.2","3","2.8","2.6","2.5","2.4","",
"Botswana","BWA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","12.4","11.9","11.5","11","10.6","10.1","9.7","9.2","8.8","8.4","8","7.6","7.2","6.9","6.5","6.2","5.9","5.6","5.4","5.1","4.9","4.7","4.5","4.3","4.1","4","3.8","3.7","3.6","",
"Central African Republic","CAF","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","18.5","18","17.6","17.2","16.8","16.4","16.1","15.8","15.5","15.2","15","14.7","14.4","14.2","13.8","13.5","13.1","12.8","12.4","12","11.6","11.3","11","10.6","10.3","9.9","9.6","9.3","9.1","",
"Canada","CAN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.5","0.4","0.4","0.4","0.4","0.4","",
